"";"term";"statistic";"df";"p.value"
"1";"exposition";0,773135671771595;1;0,379248751812011
"2";"PC1";0,000543461380535648;1;0,9814011937738
"3";"PC2";0,0900545178990714;1;0,76410785885119
"4";"PC3";0,312589829889831;1;0,576095293519846
"5";"ffh";7,41852465155759;1;0,00645557273108003
"6";"changeType";7,61256237787303;3;0,0547356987561595
