location;lon_cent;lat_cent;constructionYear
Parkstetten-Reibersdorf;12,5995197971944;48,9024764716815;2008
Klaeranlage_Straubing;12,6254221905611;48,9000438062800;2012
Oebling;12,6341760915317;48,8920422512674;2010
Aiterach;12,6429738102225;48,8940212939004;2006
Hermannsdorf-Ainbrach;12,7091486837893;48,8888468206242;2016
Pfelling;12,7547496903962;48,8788139533992;2008
Irlbach_Ortsschutz;12,7420836498557;48,8463859491217;2011
Irlbach_2;12,7827421521737;48,8371628014804;2010
Mariaposching;12,7575475419321;48,8489411043876;2003
Schwarzach-Sulzbach;12,8434941261569;48,8457337962031;2016
Natternberg;12,9283599111497;48,8309044094910;2013
Deggendorf_West;12,9312338861533;48,8369467871484;2007
Fischerdorf;12,9508723235265;48,8033702669867;2016
Stoegermuehlbach;12,9697226009868;48,7780796506357;2002
Hofkirchen;13,1155850598143;48,6784420798527;2012
Saubach;12,9502021547609;48,8250275755802;2006
Muehlheim-Ruckasing;13,0201644043401;48,7163702380218;2007
