id;location;constructionYear.x;sand;phosphorous;phosphorousClass;lon;lat;lon_cent;lat_cent;constructionYear.y
01_m;Parkstetten-Reibersdorf;2008;38,4;4;A;12,5975372380604;48,9038089553551;12,5995197971944;48,9024764716815;2008
02_m;Parkstetten-Reibersdorf;2008;48,5;3;A;12,5975109249452;48,9038900218537;12,5995197971944;48,9024764716815;2008
03_m;Parkstetten-Reibersdorf;2008;45,5;1;A;12,6109956283823;48,9034326262726;12,5995197971944;48,9024764716815;2008
04_m;Parkstetten-Reibersdorf;2008;65,3;3;A;12,6109969451386;48,9035405260210;12,5995197971944;48,9024764716815;2008
05_m;Klaeranlage_Straubing;2012;25,5;5;A;12,6236377066443;48,8988597745288;12,6254221905611;48,9000438062800;2012
06_m;Klaeranlage_Straubing;2012;24,4;11;C;12,6236528004591;48,8989765919076;12,6254221905611;48,9000438062800;2012
07_m;Klaeranlage_Straubing;2012;16,2;6;B;12,6272807343140;48,9011510005847;12,6254221905611;48,9000438062800;2012
08_m;Klaeranlage_Straubing;2012;30,1;10;C;12,6271175208270;48,9011878580990;12,6254221905611;48,9000438062800;2012
09_m;Oebling;2010;24,8;10;C;12,6382876912697;48,8915048096109;12,6341760915317;48,8920422512674;2010
10_m;Oebling;2010;25,3;13;C;12,6382345220525;48,8916130112203;12,6341760915317;48,8920422512674;2010
11_m;Oebling;2010;54,3;6;B;12,6300916985164;48,8925750460859;12,6341760915317;48,8920422512674;2010
12_m;Oebling;2010;47,4;20;C;12,6300904542883;48,8924761381524;12,6341760915317;48,8920422512674;2010
13_m;Aiterach;2006;42,4;23;D;12,6446944586961;48,8997779706249;12,6429738102225;48,8940212939004;2006
14_m;Aiterach;2006;42,3;32;E;12,6446936483775;48,8997150294707;12,6429738102225;48,8940212939004;2006
15_m;Aiterach;2006;49,4;33;E;12,6412058439611;48,8882963534018;12,6429738102225;48,8940212939004;2006
