PC1,PC2,PC3,variables
-0.8843336758157994,0.9705208809465474,0.12472825048172616,calciumcarbonatPerc
-1.1015931542188309,-0.07756734296922196,-0.8375160439704663,humusPerc
-1.2247212592500614,0.0972402458858895,-0.7033228612949,NtotalPerc
1.0536797021200315,-0.5958248722109056,-0.3605131420887895,cnRatio
-0.2247149301996002,0.7835611359869739,0.3334073602202514,pH
1.3773237066169486,0.08557230447016351,0.027332397268879954,sandPerc
-1.2650785668510545,0.30022922820478604,-0.0904056628169418,siltPerc
-1.1062215820121175,-0.7643750389458271,0.09796002437483076,clayPerc
0.13481570984792737,-1.1028102810528735,0.14803822559257054,phosphorous
0.17948566186979817,-0.9425950695057134,-0.3002029709257334,potassium
-0.9249793147340337,-0.8314711874773,-0.06341253004601614,magnesium
-0.5480180723949121,-0.4170252312251253,1.1372424286406768,topsoilDepth
-1.2223691071529112,-0.35374533711900913,0.5432401468894126,NtotalConc
5.242497607878877,2.475496005342429,1.3784743478476602,Eigenvalues
0.40326904675991393,0.19042276964172541,0.10603648829597394,Proportion Explained
0.40326904675991393,0.5936918164016394,0.6997283046976133,Cumulative Proportion
