"";"term";"statistic";"df";"p.value"
"1";"exposition";0,0670350940727827;1;0,795703630384313
"2";"PC1";0,11306944829053;1;0,736676312449314
"3";"PC2";0,0271068741977629;1;0,869226043512811
"4";"PC3";0,17547917407007;1;0,675287503700404
"5";"ffh";3,82170428063471;1;0,0505927528313708
"6";"changeType";5,85541880155014;4;0,210209002227828
