"","term","statistic","df","p.value"
"1","comparison",0.890271618274609,2,0.64073725214968
"2","exposition",0.360711464895826,1,0.548111371410109
"3","PC1soil",0.369267822873931,1,0.543403638106566
"4","PC2soil",0.10471465522277,1,0.74624358442763
"5","PC3soil",0.326737531592435,1,0.567586492136193
"6","side",1.68136945872078,1,0.194742583018847
"7","log(distanceRiver)",10.331112092031,1,0.00130806367842467
"8","locationAbb",26.7086080653458,8,0.000793709644918604
