PC1,PC2,PC3,variables
0.576,0.679,0.59,temp_mean_construction_year
0.437,-0.928,0.284,temp_spring_construction_year
0.212,-0.15,0.772,temp_summer_construction_year
0.253,1.242,-0.353,temp_autumn_construction_year
0.209,0.849,0.544,temp_winter_construction_year
0.16,0.774,-0.562,temp_mean_construction_year_plus
-0.851,0.641,-0.57,temp_spring_construction_year_plus
1.051,-0.175,-0.543,temp_summer_construction_year_plus
-0.604,-0.285,0.512,temp_autumn_construction_year_plus
0.604,0.805,-0.164,temp_winter_construction_year_plus
1.091,-0.021,-0.635,prec_mean_construction_year
-0.306,0.855,-0.173,prec_spring_construction_year
0.871,-0.185,-0.897,prec_summer_construction_year
0.811,-0.52,-0.003,prec_autumn_construction_year
0.466,-0.061,-0.097,prec_winter_construction_year
-1.077,0.096,-0.483,prec_mean_construction_year_plus
-0.283,0.125,0.711,prec_spring_construction_year_plus
-0.964,-0.009,-0.538,prec_summer_construction_year_plus
0.26,1.06,0.298,prec_autumn_construction_year_plus
-0.477,-0.528,-1.017,prec_winter_construction_year_plus
4.652,4.223,3.267,Eigenvalue
0.233,0.211,0.163,Proportion Explained
0.233,0.444,0.607,Cumulative Proportion
