name,sum
Verbascum_lychnitis,51
Verbascum_nigrum,12
Verbascum_thapsus,1
Verbena_officinalis,10
Veronica_arvensis,21
Veronica_chamaedrys,34
Veronica_persica,10
Vicia_cracca,74
Vicia_dasycarpa,4
Vicia_hirsuta,15
Vicia_sativa_ssp_nigra,67
Vicia_sepium,7
Vicia_tetrasperma,8
Viola_hirta,2
Viola_odorata,1
