type;01_m_2017;01_m_2018;01_m_2019;02_m_2017;02_m_2018;02_m_2019;03_m_2017;03_m_2018;03_m_2019;04_m_2017;04_m_2018;04_m_2019;05_m_2017;05_m_2018;05_m_2019;06_m_2017;06_m_2018;06_m_2019;07_m_2017;07_m_2018;07_m_2019;08_m_2017;08_m_2018;08_m_2019;09_m_2017;09_m_2018;09_m_2019;10_m_2017;10_m_2018;10_m_2019;11_m_2017;11_m_2018;11_m_2019;12_m_2017;12_m_2018;12_m_2019;13_m_2017;13_m_2018;13_m_2019;14_m_2017;14_m_2018;14_m_2019;15_m_2017;15_m_2018;16_m_2017;16_m_2018;17_o_2017;17_o_2018;17_o_2019;18_m_2017;18_m_2018;18_m_2019;19_o_2017;19_o_2018;19_o_2019;20_m_2017;20_m_2018;20_m_2019;21_m_2017;21_m_2018;21_m_2019;22_m_2017;22_m_2018;22_m_2019;23_m_2017;23_m_2018;23_m_2019;24_m_2017;24_m_2018;24_m_2019;25_m_2017;25_m_2018;25_m_2019;26_m_2017;26_m_2018;26_m_2019;27_m_2017;27_m_2018;27_m_2019;28_m_2017;28_m_2018;28_m_2019;29_m_2017;29_m_2018;29_m_2019;30_m_2017;30_m_2018;30_m_2019;31_m_2017;31_m_2018;31_m_2019;32_m_2017;32_m_2018;32_m_2019;34_o_2018;34_o_2019;35_m_2017;35_m_2019;36_m_2017;36_m_2018;36_m_2019;37_m_2017;37_m_2019;38_m_2017;38_m_2019;39_m_2017;39_m_2018;39_m_2019;40_m_2017;40_m_2018;40_m_2019;41_m_2017;41_m_2018;41_m_2019;42_m_2017;42_m_2018;42_m_2019;43_m_2017;43_m_2018;43_m_2019;44_m_2017;44_m_2018;44_m_2019;45_m_2017;45_m_2018;45_m_2019;46_m_2017;46_m_2018;46_m_2019;47_m_2017;47_m_2018;48_m_2017;48_m_2018;49_m_2017;49_m_2018;50_m_2017;50_m_2018;51_m_2017;51_m_2018;51_m_2019;52_m_2017;52_m_2019;53_m_2017;53_m_2018;53_m_2019;54_m_2017;54_m_2018;54_m_2019;55_m_2017;55_m_2018;55_m_2019;56_m_2017;56_m_2018;56_m_2019;57_o_2017;57_o_2018;57_o_2019;58_m_2017;58_m_2018;58_m_2019;59_m_2017;59_m_2019;59_o_2017;59_o_2018;60_m_2017;60_m_2018;60_m_2019;61_o_2017;61_o_2018;61_o_2019;62_m_2017;62_m_2018;62_m_2019;63_m_2017;63_m_2018;63_m_2019;64_m_2017;64_m_2018;64_m_2019;65_m_2017;65_m_2018;65_m_2019;66_m_2017;66_m_2018;66_m_2019;67_o_2017;67_o_2018;67_o_2019;68_m_2017;68_m_2018;68_m_2019;69_m_2017;69_m_2019;70_m_2017;70_m_2018;70_m_2019
biotopeType;G211;G214-GE6510;G214-GE6510;G212-LR6510;G212-LR6510;G214-GE6510;G214-GE6510;G212;G214-GE00BK;G213;G312-GT6210;G214-GE6510;G214-GE00BK;G211;G213;G214-GE00BK;G214-GE6510;G214-GE00BK;G214-GE00BK;G213;G214-GE00BK;G214-GE6510;G214-GE00BK;G214-GE6510;G214-GE6510;G213;G213;G213;G213;G213;G214-GE6510;G214-GE6510;G212-LR6510;G211;G211;G211;G214-GE6510;G212-LR6510;G212-LR6510;G211;G211;G211;G212-LR6510;G213;G214-GE6510;G214-GE6510;G213;G214-GE6510;G214-GE6510;G212-LR6510;G212;G214-GE00BK;G213;G212-LR6510;G214-GE6510;G213;G214-GE6510;G214-GE00BK;G213;G213;G213;G213;G213;G214-GE00BK;G214-GE6510;G214-GE6510;G214-GE6510;G214-GE6510;G213;G214-GE6510;G214-GE6510;G213;G214-GE6510;G213;G213;G213;G211;G214-GE6510;G214-GE6510;G213;G213;G213;G213;G213;G213;G213;G213;G213;G214-GE6510;G214-GE6510;G214-GE6510;G213;G213;G213;G214-GE6510;G214-GE6510;G212-LR6510;G211;G212-LR6510;G214-GE00BK;G212;G212;G212;G212-LR6510;G212;G213;G211;G212;G212;G214-GE00BK;G214-GE6510;G213;G214-GE00BK;G212-LR6510;G212;G214-GE00BK;G214-GE00BK;G213;G213;G213;G213;G213;G213;G211;G213;G213;G214-GE6510;G213;G213;G211;G212-LR6510;G212-LR6510;G212-LR6510;G212;G212-LR6510;G212;G211;G212-LR6510;G212-LR6510;G212-LR6510;G212-LR6510;G214-GE6510;G312-GT6210;G213;G312-GT6210;G213;G214-GE6510;G214-GE00BK;G213;G213;G214-GE6510;G212-LR6510;G312-GT6210;G214-GE6510;G212-LR6510;G214-GE6510;G212-LR6510;G214-GE6510;G214-GE6510;G214-GE6510;G212-LR6510;G214-GE6510;G213;G213;G213;G213;G213;G213;G214-GE00BK;G214-GE6510;G211;G211;G212;G214-GE6510;G214-GE6510;G214-GE6510;G212-LR6510;G214-GE6510;G214-GE6510;G212-LR6510;G212-LR6510;G212-LR6510;G211;G212-LR6510;G214-GE6510;G212-LR6510;G212-LR6510;G214-GE6510;G214-GE00BK;G213;G214-GE00BK;G214-GE6510;G214-GE6510;G213;G213;G213
biotopePoints;6;12;12;9;9;12;12;8;12;8;13;12;12;6;8;12;12;12;12;8;12;12;12;12;12;8;8;8;8;8;12;12;9;6;6;6;12;9;9;6;6;6;9;8;12;12;8;12;12;9;8;12;8;9;12;8;12;12;8;8;8;8;8;12;12;12;12;12;8;12;12;8;12;8;8;8;6;12;12;8;8;8;8;8;8;8;8;8;12;12;12;8;8;8;12;12;9;6;9;12;8;8;8;9;8;8;6;8;8;12;12;8;12;9;8;12;12;8;8;8;8;8;8;6;8;8;12;8;8;6;9;9;9;8;9;8;6;9;9;9;9;12;13;8;13;8;12;12;8;8;12;9;13;12;9;12;9;12;12;12;9;12;8;8;8;8;8;8;12;12;6;6;8;12;12;12;9;12;12;9;9;9;6;9;12;9;9;12;12;8;12;12;12;8;8;8
