id;block;location;RW;HW;side;exposition;constructionYear;ageCategory;surveyDate_2017;surveyDate_2018;surveyDate_2019;botanist_2017;botanist_2018;botanist_2019;opensoilCov_2017;opensoilCov_2018;opensoilCov_2019;mossCov_2017;mossCov_2018;mossCov_2019;litterCov_2017;litterCov_2018;litterCov_2019;vegetationCov_2017;vegetationCov_2018;vegetationCov_2019;vegetationHeight_2017;vegetationHeight_2018;vegetationHeight_2019;HCl;C550Perc;calciumcarbonatPerc;CorgPerc;humusPerc;humusLevel;NtotalPerc;cnRatio;cnLevel;pH;sandPerc;siltPerc;clayPerc;phosphorous;phosphorousClass;potassium;potassiumClass;magnesium;magnesiumClass;topoilDepth_plan;topsoilDepth_measured;topsoilDepth;fmDepth;fmDbd;sceletonRatiov;sceletonRatiom;sceletonLevel;ufcPerc;ufc
01_m;1;Parkstetten-Reibersdorf;4543914;5418661;water;south;2008;old;NA;2018-06-12;2019-06-13;NA;NA;NA;5;80;60;2;1;10;35;15;30;80;60;70;50;NA;70;C4;4,3;35,8;2,108;3,63;h3;0,235;9;hq5;7,38;38,4;44,2;17,4;4;A;7;B;16;C;20;22;22;20;1,32;7;10;2;22,3;49
02_m;1;Parkstetten-Reibersdorf;4543912;5418670;land;north;2008;old;NA;2018-06-12;2019-06-13;NA;NA;NA;1;10;25;70;60;60;20;30;15;80;75;70;30;60;60;C4;3,287;27,4;1,804;3,1;h3;0,193;9,3;hq5;7,37;48,5;36,5;15;3;A;6;B;14;C;15;14;14;8;1,44;40;53;4;13,2;18,5
03_m;2;Parkstetten-Reibersdorf;4544901;5418627;water;south;2008;old;NA;2018-06-12;2019-06-13;NA;NA;NA;15;80;80;10;5;5;65;15;15;70;35;50;40;40;60;C4;4,351;36,2;1,474;2,54;h3;0,174;8,5;hq5;7,46;45,5;39,3;15,2;1;A;6;B;15;C;20;11;11;10;1,54;11;11;3;19,6;21,6
04_m;2;Parkstetten-Reibersdorf;4544901;5418639;land;north;2008;old;NA;2018-06-12;1900-01-30;NA;NA;NA;20;40;30;40;20;50;35;35;20;40;50;50;10;40;NA;C4;2,405;20;1,48;2,55;h3;0,142;10,4;hq4;7,43;65,3;24,6;10,1;3;A;6;B;11;C;15;13;13;7;1,42;47;63;4;11,1;14,5
05_m;3;Klaeranlage_Straubing;4545832;5418126;water;north;2012;old;NA;2018-06-14;2019-06-13;NA;NA;NA;20;40;70;50;15;10;25;40;20;60;30;65;35;30;40;C4;4,968;41,4;2,053;3,53;h3;0,272;7,5;hq5;7,47;25,5;54,8;19,7;5;A;5;B;15;C;15;17;17;16;1,25;4;6;2;25;42,5
06_m;3;Klaeranlage_Straubing;4545833;5418139;land;south;2012;old;NA;2018-06-14;1900-01-05;NA;NA;NA;40;25;5;10;5;35;40;65;60;50;70;80;30;40;50;C4;5,489;45,7;1,579;2,72;h3;0,213;7,4;hq5;7,44;24,4;56,9;18,7;11;C;5;B;14;C;15;18;18;18;1,29;0;2;1;26;46,8
07_m;4;Klaeranlage_Straubing;4546097;5418383;water;east;2012;old;NA;2018-06-14;2019-06-13;NA;NA;NA;50;NA;75;20;NA;5;20;NA;20;40;NA;65;20;NA;60;C4;5,304;44,2;1,805;3,1;h3;0,242;7,5;hq5;7,45;16,2;62,2;21,6;6;B;6;B;16;C;15;16;16;16;1,31;0;1;1;26;41,6
08_m;4;Klaeranlage_Straubing;4546085;5418387;land;west;2012;old;NA;2018-06-14;2019-06-13;NA;NA;NA;70;50;60;1;20;10;20;30;30;40;30;70;30;30;55;C4;4,837;40,3;1,75;3,01;h3;0,225;7,8;hq5;7,42;30,1;50,8;19,1;10;C;6;B;14;C;15;17;17;14;1,77;18;23;3;16,4;27,9
09_m;5;Oebling;4546913;5417317;water;north;2010;old;NA;2018-06-14;2019-06-13;NA;NA;NA;5;10;5;5;20;50;80;70;45;45;60;50;50;80;80;C3;0,934;7,8;2,599;4,47;h4;0,285;9,1;hq5;7,28;24,8;41,2;34;10;C;7;B;21;D;20;18;18;17;1,37;8;12;2;24;43,2
10_m;5;Oebling;4546909;5417329;land;south;2010;old;NA;2018-06-14;NA;NA;NA;NA;20;40;60;0;0;0;70;55;40;30;50;60;50;40;60;C3;1,28;10,7;2,655;4,57;h4;0,293;9,1;hq5;7,33;25,3;41,6;33,1;13;C;11;C;23;D;10;17;17;16;1,03;8;18;2;23,9;40,7
11_m;6;Oebling;4546311;5417431;water;north;2010;old;NA;2018-06-14;2019-06-13;NA;NA;NA;20;25;10;40;35;60;30;35;30;65;80;80;NA;80;110;C0;0,23;1,9;1,887;3,25;h3;0,186;10,1;hq4;7,18;54,3;32,3;13,4;6;B;8;B;14;C;20;15;15;13;1,32;11;20;3;23,1;34,7
12_m;6;Oebling;4546311;5417420;land;south;2010;old;NA;2018-06-14;2019-06-13;NA;NA;NA;70;65;80;1;0;5;25;35;15;25;25;50;60;30;50;C0;0,255;2,1;2,37;4,08;h4;0,245;9,7;hq5;7,26;47,4;29,9;22,7;20;C;13;C;21;D;10;15;15;12;1,19;18;32;3;21,4;32,1
13_m;7;Aiterach;4547375;5418241;water;north;2006;old;NA;2018-06-15;2019-06-14;NA;NA;NA;5;10;5;35;40;40;50;50;45;75;NA;70;40;10;55;C0;0,028;0,2;1,034;1,78;h2;0,109;9,5;hq5;6,16;42,4;36,4;21,2;23;D;18;C;17;C;20;26;26;25;1,41;3;5;2;16,5;42,8
14_m;7;Aiterach;4547375;5418234;land;south;2006;old;NA;2018-06-15;2019-06-14;NA;NA;NA;30;35;50;30;40;25;30;20;25;40;30;60;50;20;60;C0;0,118;1;1,309;2,25;h3;0,132;9,9;hq5;7,18;42,3;36,1;21,6;32;E;17;C;18;C;10;15;15;14;1,47;4;8;2;18,3;27,4
15_m;8;Aiterach;4547130;5416962;water;west;2006;old;NA;2018-06-15;NA;NA;NA;NA;5;10;NA;15;10;NA;70;75;NA;40;25;NA;60;10;NA;C1/C2;0,427;3,6;2,356;4,05;h4;0,233;10,1;hq4;7,22;49,4;32;18,6;33;E;35;E;17;C;20;10;10;9;1,22;13;25;3;22,7;22,7
16_m;8;Aiterach;4547137;5416962;land;east;2006;old;NA;2018-06-15;NA;NA;NA;NA;20;30;NA;15;30;NA;55;35;NA;35;30;NA;50;10;NA;C3;1,314;10,9;2,486;4,28;h4;0,258;9,6;hq5;7,32;41,2;35,9;22,9;5;B;12;C;17;C;10;14;14;12;1,33;17;27;3;21,7;30,3
17_o;9;Hermannsdorf-Ainbrach;4551938;5417213;water;north;2016;new;NA;2018-06-16;2019-06-14;NA;NA;NA;50;20;50;2;2;30;40;75;20;50;60;85;35;60;70;C4;2,748;22,9;1,634;2,81;h3;0,19;8,6;hq5;7,45;31,2;46,8;22;9;B;8;B;15;C;20;20;20;18;1,08;9;18;2;21,9;43,7
18_m;9;Hermannsdorf-Ainbrach;4551933;5417206;land;south;2016;new;NA;2018-06-16;2019-06-14;NA;NA;NA;40;70;50;0;1;20;50;25;30;30;60;50;15;30;50;C4;2,565;21,4;2,121;3,65;h3;0,234;9,1;hq5;7,41;36,7;43,3;20;2;A;7;B;15;C;15;NA;15;13;1,33;17;36;3;20;30
19_o;10;Hermannsdorf-Ainbrach;4552292;5416931;water;north;2016;new;NA;2018-05-16;2019-06-14;NA;NA;NA;10;60;70;0;0;15;80;35;15;60;70;70;10;70;60;C3/C4;2,013;16,8;1,204;2,07;h3;0,134;9;hq5;7,41;31,5;45,8;22,7;19;C;14;C;14;C;20;15;15;14;1,44;4;9;2;18,2;27,3
20_m;10;Hermannsdorf-Ainbrach;4552285;5416920;land;south;2016;new;NA;2018-06-15;2019-06-14;NA;NA;NA;60;60;35;0;10;30;30;30;35;40;50;60;35;30;60;C4;2,939;24,5;2,08;3,58;h3;0,228;9,1;hq5;7,38;37,8;42,5;19,7;3;A;7;B;16;C;15;20;20;17;1,08;15;32;3;20,3;40,6
21_m;11;Pfelling;4555538;5415944;water;south;2008;old;NA;2018-06-15;2019-06-14;NA;NA;NA;10;10;70;0;0;5;80;85;25;90;80;60;35;30;50;C1;0,506;4,2;2,446;4,21;h4;0,251;9,7;hq5;7,31;27,2;46,4;26,4;1;A;6;B;34;D;20;23;23;23;1,31;0;7;1;26;59,8
22_m;11;Pfelling;4555531;5415946;land;north;2008;old;NA;2018-06-15;2019-06-14;NA;NA;NA;10;5;20;60;70;60;20;20;20;30;30;50;40;30;60;C2;0,776;6,5;1,786;3,07;h3;0,19;9,4;hq5;7,35;41,9;38,9;19,2;2;A;8;B;21;D;10;8;8;7;1,29;12;18;3;21,1;16,9
23_m;12;Pfelling;4555683;5416175;water;south;2008;old;NA;2018-06-15;2019-06-14;NA;NA;NA;45;70;30;0;10;10;45;20;60;50;50;70;45;45;65;C2/C3;0,891;7,4;1,969;3,39;h3;0,199;9,9;hq5;7,26;55,8;28,9;15,3;3;A;7;B;16;C;20;12;12;9;1,5;21;33;3;17,4;20,8
24_m;12;Pfelling;4555677;5416180;land;north;2008;old;NA;2018-06-15;2019-06-14;NA;NA;NA;5;15;20;50;15;45;30;65;35;50;60;70;40;30;60;C3;1,497;12,5;2,155;3,71;h3;0,219;9,8;hq5;7,27;51,4;32,5;16,1;2;A;8;B;16;C;10;9;9;7;1,39;20;32;3;20,9;18,8
25_m;13;Irlbach_Ortsschutz;4554430;5412276;water;west;2011;old;NA;2018-06-16;2019-06-15;NA;NA;NA;20;5;20;20;40;40;50;50;40;60;60;65;40;40;40;C2/C3;0,619;5,2;1,73;2,98;h3;0,164;10,5;hq4;7,33;53,8;31,6;14,6;2;A;9;B;13;C;20;8;8;5;1,41;38;59;4;13,7;10,9
26_m;13;Irlbach_Ortsschutz;4554441;5412516;land;east;2011;old;NA;2018-06-16;2019-06-15;NA;NA;NA;40;75;50;5;5;10;40;15;40;50;70;60;30;30;35;C3;0,772;6,4;2,686;4,62;h4;0,268;10;hq4;7,31;42,2;37,7;20,1;7;B;7;B;12;C;15;20;20;17;1,47;17;24;3;17,5;35
27_m;14;Irlbach_Ortsschutz;4554294;5412036;water;north;2011;old;NA;2018-06-16;2019-06-14;NA;NA;NA;45;30;35;5;10;25;40;55;40;50;70;60;30;80;90;C3;1,09;9,1;3,238;5,57;h4;0,305;10,6;hq4;7,3;16,3;58,4;25,3;13;C;8;B;15;C;20;15;15;14;1,37;5;11;2;26,5;39,8
28_m;14;Irlbach_Ortsschutz;4554292;5412027;land;south;2011;old;NA;2018-06-16;2019-06-14;NA;NA;NA;70;20;60;0;5;5;20;70;35;40;60;60;30;30;60;C3/C4;1,237;10,3;2,916;5,02;h4;0,286;10,2;hq4;7,35;15;60,2;24,8;15;C;7;B;16;C;15;20;20;17;1,01;14;29;3;24;48
29_m;15;Irlbach_2;4559495;5410119;water;west;2010;old;NA;2018-06-16;2019-06-15;NA;NA;NA;50;5;20;15;20;40;25;70;40;70;75;65;45;50;45;C3/C4;0,668;5,6;1,439;2,48;h3;0,148;9,7;hq5;7,28;29,3;44,5;26,2;29;D;14;C;17;C;20;NA;20;18;1,52;8;14;2;17,5;35,1
