id,plot,exposition,side,block,location,locationAbb,locationYear,longitude,latitude,riverkm,distanceRiver,constructionYear,botanist,conf.low,conf.high,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,B,C,D,comparison,presabu
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.0943,0.1887,0.283,1819,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2075,0.1132,0.3208,1921,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2459,0.1967,0.4426,1719,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2679,0.125,0.3929,1721,presence
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2724,0.195,0.4674,1718,abundance
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.2293,0.2401,0.4694,1819,abundance
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.3655,0.1248,0.4903,1921,abundance
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.3602,0.2936,0.6538,1719,abundance
X03_m_2017,03,south,water,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418627,2317,511.1,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,9,9,0.3432,0.8788,-0.0295,-0.7514,-0.1115,0.3944,0.4935,0.1911,0.6846,1721,abundance
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.1803,0.1967,0.377,1718,presence
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.1452,0.1452,0.2903,1819,presence
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.2321,0.125,0.3571,1921,presence
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.1803,0.1967,0.377,1719,presence
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.2727,0.1818,0.4545,1721,presence
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.0399,0.2761,0.3159,1718,abundance
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.1405,0.0796,0.2201,1819,abundance
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.2889,0.1036,0.3925,1921,abundance
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.0429,0.2207,0.2637,1719,abundance
X04_m_2017,04,north,land,2,Parkstetten-Reibersdorf,PAR,PAR-2008,4544901,5418639,2317,520.4,2008,Jakob_Huber_Simon_Reith_Jakob_Strak,13,13,1.1296,0.5993,-0.1859,-0.7514,-0.1115,0.3944,0.2467,0.239,0.4857,1721,abundance
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.5556,0.1778,0.7333,1718,presence
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.2143,0.2143,0.4286,1819,presence
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.3043,0.087,0.3913,1921,presence
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.6,0.2222,0.8222,1719,presence
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.675,0.125,0.8,1721,presence
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.6364,0.1822,0.8186,1718,abundance
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.0586,0.5532,0.6117,1819,abundance
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.5597,0.0453,0.605,1921,abundance
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.4203,0.4723,0.8926,1719,abundance
X05_m_2017,05,south,water,3,Oebling,OEB,OEB-2012,4545832,5418126,2316,229.1,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,17,17,-0.4924,0.8475,0.2254,1.1355,-0.0252,0.6262,0.7207,0.2456,0.9662,1721,abundance
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.2083,0.375,0.5833,1718,presence
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.0909,0.0727,0.1636,1819,presence
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.0635,0.2063,0.2698,1921,presence
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.1702,0.3191,0.4894,1719,presence
