id,plot,block,location,locationAbb,locationYear,latitude,longitude,riverkm,distanceRiver,MEM1_2017,MEM2_2018,MEM1_2019,MEM1_2021,MEM2_2021,surveyYear,constructionYear,plotAge,exposition,side,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,accumulatedCov,speciesRichness,botanist,conf_low,conf_high,n
X06_m_2017,06,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,-0.9131749706327376,NA,NA,NA,NA,2017,2012,5,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,67.6,20,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,4
X06_m_2018,06,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,NA,0.1068445018495754,NA,NA,NA,2018,2012,6,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,102.1,28,Jakob_Huber,22,22,4
X06_m_2019,06,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,NA,NA,-0.9131749706327376,NA,NA,2019,2012,7,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,115.6,27,Jakob_Huber_Linda_Weggler,23,23,4
X06_m_2021,06,3,Oebling,OEB,OEB-2012,5418139,4545833,2316,222.9,NA,NA,NA,-0.9131749706327376,0.1068445018495754,2021,2012,9,north,land,-0.3712,0.9787,-0.94,1.1355,-0.0252,0.6262,74.7,36,Markus Bauer,24,24,4
X09_m_2017,09,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,-0.9175374335112508,NA,NA,NA,NA,2017,2010,7,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,44.5,12,Jakob_Huber_Leonardo_Teixeira,33,33,4
X09_m_2018,09,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,NA,0.11856917392150514,NA,NA,NA,2018,2010,8,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,38.5,3,Jakob_Huber,34,34,4
X09_m_2019,09,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,NA,NA,-0.9175374335112508,NA,NA,2019,2010,9,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,66.5,9,Jakob_Huber_Linda_Weggler,35,35,4
X09_m_2021,09,5,Oebling,OEB,OEB-2010,5417317,4546913,2314,1537.9,NA,NA,NA,-0.9175374335112508,0.11856917392150514,2021,2010,11,south,water,-0.6301,-0.5532,0.7111,-0.7785,-0.4666,-0.7891,67,7,Markus Bauer,36,36,4
X10_m_2017,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,-0.9175189631224054,NA,NA,NA,NA,2017,2010,7,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,69.8,30,Jakob_Huber_Leonardo_Teixeira,37,37,4
X10_m_2018,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,NA,0.11850010700519209,NA,NA,NA,2018,2010,8,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,64.5,24,Jakob_Huber,38,38,4
X10_m_2019,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,NA,NA,-0.9175189631224054,NA,NA,2019,2010,9,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,57.5,21,Jakob_Huber_Linda_Weggler,39,39,4
X10_m_2021,10,5,Oebling,OEB,OEB-2010,5417329,4546909,2314,1526.4,NA,NA,NA,-0.9175189631224054,0.11850010700519209,2021,2010,11,north,land,-0.5756,-0.7487,0.7457,-0.7785,-0.4666,-0.7891,75,23,Markus Bauer,40,40,4
X11_m_2017,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,-0.9156538311834783,NA,NA,NA,NA,2017,2010,7,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,116.5,38,Jakob_Huber_Leonardo_Teixeira,41,41,4
X11_m_2018,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,NA,0.11327200307099954,NA,NA,NA,2018,2010,8,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,83.2,27,Jakob_Huber,42,42,4
X11_m_2019,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,NA,NA,-0.9156538311834783,NA,NA,2019,2010,9,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,94,35,Jakob_Huber_Linda_Weggler,43,43,4
X11_m_2021,11,6,Oebling,OEB,OEB-2010,5417431,4546311,2315,1010.1,NA,NA,NA,-0.9156538311834783,0.11327200307099954,2021,2010,11,north,water,0.755,-0.2805,0.5257,-0.7785,-0.4666,-0.7891,71,32,Markus Bauer,44,44,4
X12_m_2017,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,-0.9156620209873562,NA,NA,NA,NA,2017,2010,7,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,34.6,16,Jakob_Huber_Leonardo_Teixeira,45,45,4
X12_m_2018,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,NA,0.11330644315008612,NA,NA,NA,2018,2010,8,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,24.9,12,Jakob_Huber,46,46,4
X12_m_2019,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,NA,NA,-0.9156620209873562,NA,NA,2019,2010,9,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,59.6,17,Jakob_Huber_Linda_Weggler,47,47,4
