id;table34_3;table34_2;table33_4;table33_3;table33_2;ruderalIndicator;leanIndicator_bk;nitrogenIndicator;ffh6210;ffh6510;targetArrhenatherion;targetGrass;targetHerb;target;rlb;rlg;speciesRichnness;graminoidCovratio;location;RW;HW;constructionYear;pH;Corg;organic;nitrogen;cnRatio;CaCO3;sand;silt;clay;phosphorous;phosphorousClass;potassium;magnesium;surveyYear;conf.low;conf.high;tarRichratio;cwmAbuN;cwmAbuF;cwmAbuT
X08_m_2017;1;0;3;5;1;0;21;0;3;9;1;7;14;NA;0;1;21;0,741;Klaeranlage_Straubing;4546085;5418387;2012;7,42;1,750;3,01;0,225;7,8;40,3;30,1;50,8;19,1;10;C;6;14;2017;22;22;NA;1,903;2,588;6,826
X08_m_2018;0;1;5;6;1;0;22;0;4;7;1;7;14;NA;0;1;22;0,549;Klaeranlage_Straubing;4546085;5418387;2012;7,42;1,750;3,01;0,225;7,8;40,3;30,1;50,8;19,1;10;C;6;14;2018;23;23;NA;2,414;2,816;6,641
X08_m_2019;1;1;8;8;2;0;36;0;5;12;3;10;24;NA;0;2;36;0,269;Klaeranlage_Straubing;4546085;5418387;2012;7,42;1,750;3,01;0,225;7,8;40,3;30,1;50,8;19,1;10;C;6;14;2019;24;24;NA;1,774;2,574;6,694
X09_m_2017;0;0;5;1;0;0;30;3;2;17;1;9;16;NA;0;0;30;0,787;Oebling;4546913;5417317;2010;7,28;2,599;4,47;0,285;9,1;7,8;24,8;41,2;34,0;10;C;7;21;2017;25;25;NA;3,697;3,654;6,251
X09_m_2018;0;0;5;1;0;0;24;1;2;14;2;7;16;NA;0;0;24;0,803;Oebling;4546913;5417317;2010;7,28;2,599;4,47;0,285;9,1;7,8;24,8;41,2;34,0;10;C;7;21;2018;26;26;NA;1,379;2,259;6,919
X09_m_2019;0;0;3;2;0;0;21;2;2;12;1;4;15;NA;0;0;21;0,739;Oebling;4546913;5417317;2010;7,28;2,599;4,47;0,285;9,1;7,8;24,8;41,2;34,0;10;C;7;21;2019;27;27;NA;3,267;3,652;6,662
X10_m_2017;0;0;0;1;0;1;12;0;1;5;1;4;7;NA;0;0;12;0,921;Oebling;4546909;5417329;2010;7,33;2,655;4,57;0,293;9,1;10,7;25,3;41,6;33,1;13;C;11;23;2017;28;28;NA;3,235;4,087;6,024
X10_m_2018;0;0;0;2;0;0;3;0;1;1;0;1;2;NA;0;0;3;0,974;Oebling;4546909;5417329;2010;7,33;2,655;4,57;0,293;9,1;10,7;25,3;41,6;33,1;13;C;11;23;2018;29;29;NA;1,561;2,410;6,910
X10_m_2019;0;0;0;3;0;0;9;0;1;3;1;2;7;NA;0;0;9;0,947;Oebling;4546909;5417329;2010;7,33;2,655;4,57;0,293;9,1;10,7;25,3;41,6;33,1;13;C;11;23;2019;30;30;NA;1,723;2,649;6,771
X11_m_2017;1;0;2;0;1;1;38;5;1;17;2;9;20;NA;0;0;38;0,712;Oebling;4546311;5417431;2010;7,18;1,887;3,25;0,186;10,1;1,9;54,3;32,3;13,4;6;B;8;14;2017;31;31;NA;4,597;4,252;6,076
