name;IN1;IN2;IN3;IN4;IN5;IN6;AC1;AC2;AC3;AC4;AC5;AC6
Hypericum_tetrapterum;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
Knautia_dipsacifolia;0,00;0,00;0,50;2,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Lamium_maculatum;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;2,00
Lathyrus_pratensis;0,00;0,50;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,50;0,00;0,00
Leucanthemum_vulgare;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
Ligustrum_vulgare;0,00;0,00;0,00;0,00;0,00;0,50;0,00;2,00;0,00;0,00;0,00;0,00
Lonicera_xylosteum;0,50;0,50;2,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,50;0,50
Lycopus_europaeus;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Lysimachia_vulgaris;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
Melica_nutans;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,50;0,50;0,00;0,00
Mentha_aquatica;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Mentha_aquatica_x_spicata;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
Mercurialis_perennis;8,75;4,00;4,00;2,00;37,50;37,50;4,00;18,75;18,75;4,00;0,00;18,75
Molinia_arundinacea;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
Molinia_caerulea;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
Neottia_ovata;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
Petasites_hybridus;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Phalaris_arundinacea;0,50;4,00;0,50;8,75;0,50;8,75;0,50;0,00;0,50;0,50;2,00;0,00
Phragmites_australis;0,00;2,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
Picea_abies;0,00;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;2,00;0,00;0,00
Pimpinella_major;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
Pleurospermum_austriacum;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Poa_compressa;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
Poa_palustris;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00
Prunella_vulgaris;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
Prunus_padus;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,50
