"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"3271","Metten","12.918911","48.85476","314.0","https://cdc.dwd.de/rest/metadata/station/html/812300383719"
"6161","Osterhofen-Thundorf","13.013434","48.757676","311.0","https://cdc.dwd.de/rest/metadata/station/html/812301000511"
"4910","Straubing-Ittling","12.638449","48.882302","318.0","https://cdc.dwd.de/rest/metadata/station/html/812301005079"
"46","Aholfing","12.463897","48.945049","325.0","https://cdc.dwd.de/rest/metadata/station/html/812301005424"
"5658","Wörth/Oberpfalz -Kiefenholz","12.347547","48.995959","326.0","https://cdc.dwd.de/rest/metadata/station/html/812301008201"
"5232","Vilshofen (Schweiklberg)","13.173377","48.628235","378.0","https://cdc.dwd.de/rest/metadata/station/html/812301009601"
"1019","Donaustauf","12.195709","49.030881","329.0","https://cdc.dwd.de/rest/metadata/station/html/812301011400"
"589","Bogen-Pfelling","12.745292","48.884636","343.0","https://cdc.dwd.de/rest/metadata/station/html/812301011484"
